"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Поиск сайта Papa Johns","","0","0","1","0","0"
"","Заказ пиццы на сайте Papa Johns","","0","1","0","0","0"
