"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 09:36:46 GMT 2025","Fri Jul 18 09:37:05 GMT 2025","18568","","ru.romanow.playwright.tests.GoogleSearchScenarioTest","","ru.romanow.playwright.tests.GoogleSearchScenarioTest","when Search Papa Johns site with Google then Success","when Search Papa Johns site with Google then Success(Page)",""
"broken","Fri Jul 18 09:37:05 GMT 2025","Fri Jul 18 09:37:39 GMT 2025","33922","","ru.romanow.playwright.tests.OrderPizzaScenarioTest","","ru.romanow.playwright.tests.OrderPizzaScenarioTest","when Order Italian Pizza then Success","when Order Italian Pizza then Success(Page)",""
